timestep,date,time,flow_cfs
248,6/5/1913,0:00,478
249,6/6/1913,0:00,704
250,6/7/1913,0:00,394
251,6/8/1913,0:00,232
252,6/9/1913,0:00,191
253,6/10/1913,0:00,442
254,6/11/1913,0:00,454
255,6/12/1913,0:00,167
256,6/13/1913,0:00,"1,970"
257,6/14/1913,0:00,810
258,6/15/1913,0:00,78
259,6/16/1913,0:00,52
260,6/17/1913,0:00,384
261,6/18/1913,0:00,395
262,6/19/1913,0:00,407
263,6/20/1913,0:00,490
264,6/21/1913,0:00,217
265,6/22/1913,0:00,194
266,6/23/1913,0:00,356
267,6/24/1913,0:00,330
268,6/25/1913,0:00,672
269,6/26/1913,0:00,537
270,6/27/1913,0:00,384
271,6/28/1913,0:00,407
272,6/29/1913,0:00,466
273,6/30/1913,0:00,442
274,7/1/1913,0:00,430
275,7/2/1913,0:00,400
276,7/3/1913,0:00,372
277,7/4/1913,0:00,372
278,7/5/1913,0:00,274
279,7/6/1913,0:00,174
280,7/7/1913,0:00,184
281,7/8/1913,0:00,66
282,7/9/1913,0:00,52
283,7/10/1913,0:00,133
284,7/11/1913,0:00,202
285,7/12/1913,0:00,224
286,7/13/1913,0:00,184
287,7/14/1913,0:00,130
288,7/15/1913,0:00,56
289,7/16/1913,0:00,37
290,7/17/1913,0:00,35
291,7/18/1913,0:00,389
292,7/19/1913,0:00,173
293,7/20/1913,0:00,50
294,7/21/1913,0:00,63
295,7/22/1913,0:00,194
296,7/23/1913,0:00,293
297,7/24/1913,0:00,564
298,7/25/1913,0:00,400
299,7/26/1913,0:00,148
300,7/27/1913,0:00,255
301,7/28/1913,0:00,364
302,7/29/1913,0:00,341
303,7/30/1913,0:00,312
304,7/31/1913,0:00,176
305,8/1/1913,0:00,115
306,8/2/1913,0:00,92
307,8/3/1913,0:00,54
308,8/4/1913,0:00,27
309,8/5/1913,0:00,19
310,8/6/1913,0:00,14
311,8/7/1913,0:00,46
312,8/8/1913,0:00,46
313,8/9/1913,0:00,40
314,8/10/1913,0:00,34
315,8/11/1913,0:00,34
316,8/12/1913,0:00,35
317,8/13/1913,0:00,38
318,8/14/1913,0:00,35
319,8/15/1913,0:00,57
320,8/16/1913,0:00,40
321,8/17/1913,0:00,64
322,8/18/1913,0:00,82
323,8/19/1913,0:00,49
324,8/20/1913,0:00,49
325,8/21/1913,0:00,35
326,8/22/1913,0:00,89
327,8/23/1913,0:00,224
328,8/24/1913,0:00,49
329,8/25/1913,0:00,42
330,8/26/1913,0:00,53
331,8/27/1913,0:00,31
332,8/28/1913,0:00,34
333,8/29/1913,0:00,38
334,8/30/1913,0:00,36
335,8/31/1913,0:00,45
336,9/1/1913,0:00,40
337,9/2/1913,0:00,34
338,9/3/1913,0:00,35
339,9/4/1913,0:00,32
340,9/5/1913,0:00,18
341,9/6/1913,0:00,26
342,9/7/1913,0:00,34
343,9/8/1913,0:00,34
344,9/9/1913,0:00,34
345,9/10/1913,0:00,34
346,9/11/1913,0:00,34
347,9/12/1913,0:00,49
348,9/13/1913,0:00,84
349,9/14/1913,0:00,106
350,9/15/1913,0:00,74
351,9/16/1913,0:00,80
352,9/17/1913,0:00,86
353,9/18/1913,0:00,86
354,9/19/1913,0:00,92
355,9/20/1913,0:00,76
356,9/21/1913,0:00,84
357,9/22/1913,0:00,70
358,9/23/1913,0:00,57
359,9/24/1913,0:00,60
360,9/25/1913,0:00,80
361,9/26/1913,0:00,135
362,9/27/1913,0:00,147
363,9/28/1913,0:00,153
364,9/29/1913,0:00,176
365,9/30/1913,0:00,176
366,10/1/1913,0:00,190
367,10/2/1913,0:00,187
368,10/3/1913,0:00,198
369,10/4/1913,0:00,242
370,10/5/1913,0:00,229
371,10/6/1913,0:00,176
372,10/7/1913,0:00,153
373,10/8/1913,0:00,166
374,10/9/1913,0:00,147
375,10/10/1913,0:00,166
376,10/11/1913,0:00,135
377,10/12/1913,0:00,115
378,10/13/1913,0:00,68
379,10/14/1913,0:00,70
380,10/15/1913,0:00,138
381,10/16/1913,0:00,166
382,10/17/1913,0:00,138
383,10/18/1913,0:00,166
384,10/19/1913,0:00,138
385,10/20/1913,0:00,120
386,10/21/1913,0:00,123
387,10/22/1913,0:00,123
388,10/23/1913,0:00,118
389,10/24/1913,0:00,118
390,10/25/1913,0:00,120
391,10/26/1913,0:00,129
392,10/27/1913,0:00,166
393,10/28/1913,0:00,150
394,10/29/1913,0:00,170
395,10/30/1913,0:00,138
396,10/31/1913,0:00,144
397,11/1/1913,0:00,150
398,11/2/1913,0:00,132
399,11/3/1913,0:00,110
400,11/4/1913,0:00,103
401,11/5/1913,0:00,187
402,11/6/1913,0:00,242
403,11/7/1913,0:00,229
404,11/8/1913,0:00,210
405,11/9/1913,0:00,144
406,11/10/1913,0:00,213
407,11/11/1913,0:00,238
408,11/12/1913,0:00,220
409,11/13/1913,0:00,120
410,11/14/1913,0:00,101
411,11/15/1913,0:00,96
412,11/16/1913,0:00,120
413,11/17/1913,0:00,157
414,11/18/1913,0:00,96
415,11/19/1913,0:00,135
416,11/20/1913,0:00,141
417,11/21/1913,0:00,126
418,11/22/1913,0:00,98
419,11/23/1913,0:00,106
420,11/24/1913,0:00,106
421,11/25/1913,0:00,120
422,11/26/1913,0:00,120
423,11/27/1913,0:00,101
424,11/28/1913,0:00,51
425,11/29/1913,0:00,44
426,11/30/1913,0:00,106
427,12/1/1913,0:00,126
428,12/2/1913,0:00,135
429,12/3/1913,0:00,138
430,12/4/1913,0:00,126
431,12/5/1913,0:00,80
432,12/6/1913,0:00,42
433,12/7/1913,0:00,88
434,12/8/1913,0:00,63
435,12/9/1913,0:00,47
436,12/10/1913,0:00,34
437,12/11/1913,0:00,73
438,12/12/1913,0:00,209
439,12/13/1913,0:00,150
440,12/14/1913,0:00,140
441,12/15/1913,0:00,187
442,12/16/1913,0:00,187
443,12/17/1913,0:00,144
444,12/18/1913,0:00,144
445,12/19/1913,0:00,126
446,12/20/1913,0:00,126
447,12/21/1913,0:00,133
448,12/22/1913,0:00,126
449,12/23/1913,0:00,148
450,12/24/1913,0:00,140
451,12/25/1913,0:00,169
452,12/26/1913,0:00,122
453,12/27/1913,0:00,140
454,12/28/1913,0:00,157
455,12/29/1913,0:00,140
456,12/30/1913,0:00,140
457,12/31/1913,0:00,161
458,1/1/1914,0:00,205
459,1/2/1914,0:00,140
460,1/3/1914,0:00,140
461,1/4/1914,0:00,160
462,1/5/1914,0:00,205
463,1/6/1914,0:00,93
464,1/7/1914,0:00,93
465,1/8/1914,0:00,93
466,1/9/1914,0:00,70
467,1/10/1914,0:00,70
468,1/11/1914,0:00,70
469,1/12/1914,0:00,80
470,1/13/1914,0:00,93
471,1/14/1914,0:00,98
472,1/15/1914,0:00,93
473,1/16/1914,0:00,111
474,1/17/1914,0:00,180
475,1/18/1914,0:00,160
476,1/19/1914,0:00,148
477,1/20/1914,0:00,180
478,1/21/1914,0:00,143
479,1/22/1914,0:00,140
480,1/23/1914,0:00,205
481,1/24/1914,0:00,180
482,1/25/1914,0:00,123
483,1/26/1914,0:00,106
484,1/27/1914,0:00,475
485,1/28/1914,0:00,40
486,1/29/1914,0:00,74
487,1/30/1914,0:00,97
488,1/31/1914,0:00,158
489,2/1/1914,0:00,60
490,2/2/1914,0:00,120
491,2/3/1914,0:00,74
492,2/4/1914,0:00,120
493,2/5/1914,0:00,75
494,2/6/1914,0:00,84
495,2/7/1914,0:00,227
496,2/8/1914,0:00,195
497,2/9/1914,0:00,169
498,2/10/1914,0:00,75
499,2/11/1914,0:00,176
500,2/12/1914,0:00,97
501,2/13/1914,0:00,74
502,2/14/1914,0:00,116
503,2/15/1914,0:00,158
504,2/16/1914,0:00,189
505,2/17/1914,0:00,105
506,2/18/1914,0:00,66
507,2/19/1914,0:00,66
508,2/20/1914,0:00,66
509,2/21/1914,0:00,58
510,2/22/1914,0:00,58
511,2/23/1914,0:00,125
512,2/24/1914,0:00,50
513,2/25/1914,0:00,94
514,2/26/1914,0:00,84
515,2/27/1914,0:00,37
516,2/28/1914,0:00,58
517,3/1/1914,0:00,50
518,3/2/1914,0:00,120
519,3/3/1914,0:00,198
520,3/4/1914,0:00,209
521,3/5/1914,0:00,203
522,3/6/1914,0:00,238
523,3/7/1914,0:00,191
524,3/8/1914,0:00,88
525,3/9/1914,0:00,23
526,3/10/1914,0:00,16
527,3/11/1914,0:00,20
528,3/12/1914,0:00,36
529,3/13/1914,0:00,36
530,3/14/1914,0:00,26
531,3/15/1914,0:00,23
532,3/16/1914,0:00,84
533,3/17/1914,0:00,114
534,3/18/1914,0:00,186
535,3/19/1914,0:00,166
536,3/20/1914,0:00,166
537,3/21/1914,0:00,250
538,3/22/1914,0:00,186
539,3/23/1914,0:00,206
540,3/24/1914,0:00,186
541,3/25/1914,0:00,130
542,3/26/1914,0:00,114
543,3/27/1914,0:00,70
544,3/28/1914,0:00,31
545,3/29/1914,0:00,60
546,3/30/1914,0:00,98
547,3/31/1914,0:00,130
548,4/1/1914,0:00,60
549,4/2/1914,0:00,70
550,4/3/1914,0:00,84
551,4/4/1914,0:00,26
552,4/5/1914,0:00,23
553,4/6/1914,0:00,60
554,4/7/1914,0:00,148
555,4/8/1914,0:00,186
556,4/9/1914,0:00,166
557,4/10/1914,0:00,206
558,4/11/1914,0:00,228
559,4/12/1914,0:00,250
560,4/13/1914,0:00,228
561,4/14/1914,0:00,186
562,4/15/1914,0:00,206
563,4/16/1914,0:00,206
564,4/17/1914,0:00,228
565,4/18/1914,0:00,250
566,4/19/1914,0:00,277
567,4/20/1914,0:00,250
568,4/21/1914,0:00,206
569,4/22/1914,0:00,98
570,4/23/1914,0:00,148
571,4/24/1914,0:00,186
572,4/25/1914,0:00,166
573,4/26/1914,0:00,166
574,4/27/1914,0:00,186
575,4/28/1914,0:00,130
576,4/29/1914,0:00,342
577,4/30/1914,0:00,360
578,5/1/1914,0:00,"14,000"
579,5/2/1914,0:00,"17,800"
580,5/3/1914,0:00,"10,500"
581,5/4/1914,0:00,"5,780"
582,5/5/1914,0:00,"3,500"
583,5/6/1914,0:00,"2,190"
584,5/7/1914,0:00,"1,560"
585,5/8/1914,0:00,735
586,5/9/1914,0:00,458
587,5/10/1914,0:00,315
588,5/11/1914,0:00,295
589,5/12/1914,0:00,200
590,5/13/1914,0:00,270
591,5/14/1914,0:00,165
592,5/15/1914,0:00,126
593,5/16/1914,0:00,214
594,5/17/1914,0:00,75
595,5/18/1914,0:00,104
596,5/19/1914,0:00,"2,550"
597,5/20/1914,0:00,380
598,5/21/1914,0:00,500
599,5/22/1914,0:00,"4,450"
600,5/23/1914,0:00,"7,320"
601,5/24/1914,0:00,"2,850"
602,5/25/1914,0:00,"1,420"
603,5/26/1914,0:00,915
604,5/27/1914,0:00,843
605,5/28/1914,0:00,"2,530"
606,5/29/1914,0:00,"4,210"
607,5/30/1914,0:00,"2,830"
608,5/31/1914,0:00,"2,780"
609,6/1/1914,0:00,"1,700"
610,6/2/1914,0:00,"5,100"
611,6/3/1914,0:00,"5,920"
612,6/4/1914,0:00,"6,150"
613,6/5/1914,0:00,"5,220"
614,6/6/1914,0:00,"3,760"
615,6/7/1914,0:00,"2,450"
616,6/8/1914,0:00,"1,950"
617,6/9/1914,0:00,"1,270"
618,6/10/1914,0:00,630
619,6/11/1914,0:00,595
620,6/12/1914,0:00,630
621,6/13/1914,0:00,660
622,6/14/1914,0:00,"1,810"
623,6/15/1914,0:00,"5,910"
624,6/16/1914,0:00,"14,200"
625,6/17/1914,0:00,"8,480"
626,6/18/1914,0:00,"6,620"
627,6/19/1914,0:00,"4,900"
628,6/20/1914,0:00,"3,540"
629,6/21/1914,0:00,"3,210"
630,6/22/1914,0:00,"2,870"
631,6/23/1914,0:00,"2,750"
632,6/24/1914,0:00,"1,430"
633,6/25/1914,0:00,695
634,6/26/1914,0:00,350
635,6/27/1914,0:00,167
636,6/28/1914,0:00,152
637,6/29/1914,0:00,218
638,6/30/1914,0:00,870
639,7/1/1914,0:00,870
640,7/2/1914,0:00,630
641,7/3/1914,0:00,670
642,7/4/1914,0:00,670
643,7/5/1914,0:00,"1,770"
644,7/6/1914,0:00,925
645,7/7/1914,0:00,550
646,7/8/1914,0:00,103
647,7/9/1914,0:00,115
648,7/10/1914,0:00,340
649,7/11/1914,0:00,510
650,7/12/1914,0:00,510
651,7/13/1914,0:00,550
652,7/14/1914,0:00,770
653,7/15/1914,0:00,239
654,7/16/1914,0:00,405
655,7/17/1914,0:00,310
656,7/18/1914,0:00,870
657,7/19/1914,0:00,"5,420"
658,7/20/1914,0:00,"5,420"
659,7/21/1914,0:00,"4,900"
660,7/22/1914,0:00,"3,190"
661,7/23/1914,0:00,"4,900"
662,7/24/1914,0:00,"6,760"
663,7/25/1914,0:00,"5,420"
664,7/26/1914,0:00,"4,110"
665,7/27/1914,0:00,"3,800"
666,7/28/1914,0:00,"2,550"
667,7/29/1914,0:00,"3,100"
668,7/30/1914,0:00,"3,380"
669,7/31/1914,0:00,"2,640"
670,8/1/1914,0:00,"2,990"
671,8/2/1914,0:00,"3,580"
672,8/3/1914,0:00,"3,780"
673,8/4/1914,0:00,"4,780"
674,8/5/1914,0:00,"4,110"
675,8/6/1914,0:00,"3,100"
676,8/7/1914,0:00,"2,370"
677,8/8/1914,0:00,"1,240"
678,8/9/1914,0:00,"1,000"
679,8/10/1914,0:00,"1,000"
680,8/11/1914,0:00,570
681,8/12/1914,0:00,535
682,8/13/1914,0:00,338
683,8/14/1914,0:00,174
684,8/15/1914,0:00,500
685,8/16/1914,0:00,242
686,8/17/1914,0:00,158
687,8/18/1914,0:00,182
688,8/19/1914,0:00,172
689,8/20/1914,0:00,123
690,8/21/1914,0:00,94
691,8/22/1914,0:00,96
692,8/23/1914,0:00,75
693,8/24/1914,0:00,62
694,8/25/1914,0:00,125
695,8/26/1914,0:00,150
696,8/27/1914,0:00,225
697,8/28/1914,0:00,260
698,8/29/1914,0:00,293
699,8/30/1914,0:00,346
700,8/31/1914,0:00,362
701,9/1/1914,0:00,284
702,9/2/1914,0:00,129
703,9/3/1914,0:00,297
704,9/4/1914,0:00,263
705,9/5/1914,0:00,128
706,9/6/1914,0:00,139
707,9/7/1914,0:00,192
708,9/8/1914,0:00,185
709,9/9/1914,0:00,178
710,9/10/1914,0:00,151
711,9/11/1914,0:00,166
712,9/12/1914,0:00,162
713,9/13/1914,0:00,91
714,9/14/1914,0:00,88
715,9/15/1914,0:00,75
716,9/16/1914,0:00,96
717,9/17/1914,0:00,98
718,9/18/1914,0:00,75
719,9/19/1914,0:00,44
720,9/20/1914,0:00,38
721,9/21/1914,0:00,133
722,9/22/1914,0:00,31
723,9/23/1914,0:00,20
724,9/24/1914,0:00,20
725,9/25/1914,0:00,20
726,9/26/1914,0:00,27
727,9/27/1914,0:00,34
728,9/28/1914,0:00,34
729,9/29/1914,0:00,34
730,9/30/1914,0:00,43
731,10/1/1914,0:00,87
732,10/2/1914,0:00,220
733,10/3/1914,0:00,87
734,10/4/1914,0:00,52
735,10/5/1914,0:00,134
736,10/6/1914,0:00,195
737,10/7/1914,0:00,195
738,10/8/1914,0:00,116
739,10/9/1914,0:00,132
740,10/10/1914,0:00,132
741,10/11/1914,0:00,132
742,10/12/1914,0:00,116
743,10/13/1914,0:00,170
744,10/14/1914,0:00,220
745,10/15/1914,0:00,316
746,10/16/1914,0:00,264
747,10/17/1914,0:00,300
748,10/18/1914,0:00,227
749,10/19/1914,0:00,188
750,10/20/1914,0:00,123
751,10/21/1914,0:00,251
752,10/22/1914,0:00,406
753,10/23/1914,0:00,406
754,10/24/1914,0:00,313
755,10/25/1914,0:00,174
756,10/26/1914,0:00,104
757,10/27/1914,0:00,188
758,10/28/1914,0:00,134
759,10/29/1914,0:00,48
760,10/30/1914,0:00,169
761,10/31/1914,0:00,118
762,11/1/1914,0:00,118
763,11/2/1914,0:00,79
764,11/3/1914,0:00,66
765,11/4/1914,0:00,104
766,11/5/1914,0:00,342
767,11/6/1914,0:00,292
768,11/7/1914,0:00,86
769,11/8/1914,0:00,116
770,11/9/1914,0:00,82
771,11/10/1914,0:00,140
772,11/11/1914,0:00,98
773,11/12/1914,0:00,86
774,11/13/1914,0:00,86
775,11/14/1914,0:00,82
776,11/15/1914,0:00,76
777,11/16/1914,0:00,110
778,11/17/1914,0:00,140
779,11/18/1914,0:00,110
780,11/19/1914,0:00,130
781,11/20/1914,0:00,190
782,11/21/1914,0:00,130
783,11/22/1914,0:00,104
784,11/23/1914,0:00,104
785,11/24/1914,0:00,174
786,11/25/1914,0:00,76
787,11/26/1914,0:00,66
788,11/27/1914,0:00,98
789,11/28/1914,0:00,110
790,11/29/1914,0:00,86
791,11/30/1914,0:00,86
792,12/1/1914,0:00,88
793,12/2/1914,0:00,88
794,12/3/1914,0:00,88
795,12/4/1914,0:00,88
796,12/5/1914,0:00,88
797,12/6/1914,0:00,88
798,12/7/1914,0:00,88
799,12/8/1914,0:00,88
800,12/9/1914,0:00,88
801,12/10/1914,0:00,88
802,12/11/1914,0:00,88
803,12/12/1914,0:00,88
804,12/13/1914,0:00,88
805,12/14/1914,0:00,88
806,12/15/1914,0:00,88
807,12/16/1914,0:00,88
808,12/17/1914,0:00,88
809,12/18/1914,0:00,88
810,12/19/1914,0:00,88
811,12/20/1914,0:00,88
812,12/21/1914,0:00,88
813,12/22/1914,0:00,88
814,12/23/1914,0:00,88
815,12/24/1914,0:00,88
816,12/25/1914,0:00,88
817,12/26/1914,0:00,88
818,12/27/1914,0:00,88
819,12/28/1914,0:00,88
820,12/29/1914,0:00,88
821,12/30/1914,0:00,88
822,12/31/1914,0:00,88
823,1/1/1915,0:00,290
824,1/2/1915,0:00,260
825,1/3/1915,0:00,245
826,1/4/1915,0:00,220
827,1/5/1915,0:00,180
828,1/6/1915,0:00,170
829,1/7/1915,0:00,150
830,1/8/1915,0:00,130
831,1/9/1915,0:00,130
832,1/10/1915,0:00,140
833,1/11/1915,0:00,150
834,1/12/1915,0:00,130
835,1/13/1915,0:00,120
836,1/14/1915,0:00,140
837,1/15/1915,0:00,160
838,1/16/1915,0:00,130
839,1/17/1915,0:00,135
840,1/18/1915,0:00,100
841,1/19/1915,0:00,120
842,1/20/1915,0:00,140
843,1/21/1915,0:00,115
844,1/22/1915,0:00,100
845,1/23/1915,0:00,75
846,1/24/1915,0:00,85
847,1/25/1915,0:00,75
848,1/26/1915,0:00,105
849,1/27/1915,0:00,130
850,1/28/1915,0:00,130
851,1/29/1915,0:00,115
852,1/30/1915,0:00,130
853,1/31/1915,0:00,120
854,2/1/1915,0:00,130
855,2/2/1915,0:00,140
856,2/3/1915,0:00,120
857,2/4/1915,0:00,120
858,2/5/1915,0:00,190
859,2/6/1915,0:00,130
860,2/7/1915,0:00,100
861,2/8/1915,0:00,115
862,2/9/1915,0:00,105
863,2/10/1915,0:00,100
864,2/11/1915,0:00,120
865,2/12/1915,0:00,150
866,2/13/1915,0:00,105
867,2/14/1915,0:00,70
868,2/15/1915,0:00,75
869,2/16/1915,0:00,70
870,2/17/1915,0:00,55
871,2/18/1915,0:00,25
872,2/19/1915,0:00,20
873,2/20/1915,0:00,85
874,2/21/1915,0:00,100
875,2/22/1915,0:00,30
876,2/23/1915,0:00,15
877,2/24/1915,0:00,15
878,2/25/1915,0:00,15
879,2/26/1915,0:00,15
880,2/27/1915,0:00,100
881,2/28/1915,0:00,120
882,3/1/1915,0:00,160
883,3/2/1915,0:00,170
884,3/3/1915,0:00,130
885,3/4/1915,0:00,120
886,3/5/1915,0:00,130
887,3/6/1915,0:00,140
888,3/7/1915,0:00,120
889,3/8/1915,0:00,105
890,3/9/1915,0:00,105
891,3/10/1915,0:00,160
892,3/11/1915,0:00,230
893,3/12/1915,0:00,150
894,3/13/1915,0:00,170
895,3/14/1915,0:00,120
896,3/15/1915,0:00,160
897,3/16/1915,0:00,160
898,3/17/1915,0:00,105
899,3/18/1915,0:00,50
900,3/19/1915,0:00,35
901,3/20/1915,0:00,30
902,3/21/1915,0:00,20
903,3/22/1915,0:00,5
904,3/23/1915,0:00,10
905,3/24/1915,0:00,40
906,3/25/1915,0:00,100
907,3/26/1915,0:00,180
908,3/27/1915,0:00,260
909,3/28/1915,0:00,420
910,3/29/1915,0:00,465
911,3/30/1915,0:00,305
912,3/31/1915,0:00,305
913,4/1/1915,0:00,285
914,4/2/1915,0:00,370
915,4/3/1915,0:00,285
