inflow_vol,month,starting_stage
455,June,3809.89
541,June,3806.02
573,August,3842.04
584,May,3828.30
541,August,3803.77
570,May,3848.96
501,May,3808.45
508,July,3838.14
411,July,3802.83
517,August,3837.46
533,June,3828.58
646,July,3819.69
524,June,3818.96
515,June,3811.41
539,June,3835.49
364,May,3807.98
595,May,3807.79
547,May,3817.32
440,May,3850.34
482,July,3799.10
502,August,3802.38
440,August,3798.75
470,May,3803.52
703,July,3844.75
460,May,3808.28
578,May,3821.17
512,May,3822.99
545,June,3832.88
435,June,3838.11
401,August,3810.58
359,August,3804.45
509,July,3851.16
523,July,3854.79
344,May,3810.35
493,June,3803.80
440,May,3806.97
567,June,3802.14
316,July,3839.66
378,May,3859.39
606,June,3849.85
618,May,3822.68
571,June,3835.36
420,June,3822.50
311,June,3805.31
411,April,3815.63
390,July,3794.48
294,May,3816.96
622,May,3832.83
422,July,3796.98
481,July,3806.52
433,August,3840.86
285,June,3813.91
743,June,3809.42
438,May,3834.49
604,August,3792.31
389,May,3819.60
388,June,3805.93
425,June,3844.84
512,June,3807.55
433,August,3829.23
492,May,3815.92
409,May,3853.37
478,June,3838.45
532,June,3855.47
415,August,3853.54
533,August,3846.03
476,August,3841.26
422,September,3803.18
445,May,3851.65
439,June,3805.88
444,August,3818.05
410,May,3813.46
524,June,3841.74
453,May,3845.66
424,May,3814.49
566,May,3847.08
566,July,3825.66
564,June,3815.60
551,June,3836.64
426,July,3814.59
451,August,3851.88
463,August,3804.88
421,September,3803.41
436,June,3834.59
432,May,3850.60
557,May,3815.85
560,May,3852.10
607,May,3830.29
456,August,3823.82
522,August,3806.70
614,August,3823.42
612,July,3844.35
541,June,3834.91
519,July,3848.25
535,May,3859.69
366,September,3848.60
581,August,3809.16
525,August,3799.47
414,August,3832.29
434,August,3835.24
414,August,3808.40
563,August,3833.90
483,July,3839.83
730,June,3803.70
606,May,3809.11
663,July,3798.39
517,June,3807.86
465,September,3852.10
549,August,3796.97
458,July,3809.11
431,July,3815.91
619,May,3823.46
504,August,3806.15
642,May,3839.01
500,June,3803.97
493,June,3834.13
337,June,3803.91
464,June,3816.87
593,July,3854.61
493,September,3793.10
461,July,3797.41
551,July,3838.60
492,July,3796.18
467,June,3804.28
576,May,3823.61
469,September,3813.96
375,June,3834.97
393,September,3827.25
519,August,3815.61
446,May,3842.69
605,June,3855.57
556,May,3814.41
553,June,3856.22
497,June,3824.02
516,June,3805.80
574,June,3834.22
535,June,3818.04
714,May,3807.45
572,April,3848.55
441,June,3818.16
587,May,3820.17
445,July,3823.65
439,May,3820.04
476,September,3796.69
665,July,3831.89
442,May,3854.49
457,May,3853.09
698,May,3808.82
543,August,3811.07
412,June,3805.05
761,May,3850.47
447,May,3807.05
539,May,3819.23
464,May,3816.45
459,July,3852.50
484,June,3849.13
721,May,3812.43
395,August,3852.42
587,July,3823.04
581,June,3850.36
431,August,3797.49
544,June,3813.95
520,August,3804.55
645,May,3814.36
562,July,3839.43
571,August,3803.96
462,September,3804.36
526,May,3832.42
491,July,3830.65
548,August,3803.27
543,June,3858.23
577,August,3808.24
646,June,3810.12
579,August,3791.99
666,June,3824.73
480,September,3796.44
466,June,3847.41
470,May,3824.83
778,June,3832.91
512,May,3804.77
527,July,3844.72
516,May,3856.60
478,July,3808.40
585,May,3807.61
608,August,3814.80
491,July,3836.67
680,May,3858.77
704,August,3805.01
540,June,3827.76
779,May,3862.09
406,June,3831.04
641,June,3803.85
622,May,3821.54
631,May,3851.89
580,June,3810.11
558,July,3848.59
520,June,3812.43
538,May,3808.82
545,June,3829.04
529,June,3838.35
483,July,3838.95
482,July,3798.25
503,May,3853.68
464,June,3845.52
597,August,3804.70
532,July,3794.75
479,June,3826.58
488,May,3823.52
690,May,3852.91
605,May,3841.24
569,May,3835.08
609,July,3840.25
467,July,3837.32
465,May,3851.27
644,June,3806.62
541,May,3813.35
564,August,3849.18
524,June,3839.71
406,August,3822.47
543,August,3811.76
573,July,3802.39
579,August,3811.05
640,August,3813.02
525,June,3821.89
645,May,3827.37
559,June,3845.96
626,July,3792.78
704,July,3805.70
587,May,3797.04
551,June,3814.75
752,May,3806.99
514,June,3850.84
596,July,3843.20
683,May,3861.39
438,June,3830.40
553,August,3805.74
569,August,3802.42
610,May,3832.36
686,May,3816.75
565,June,3818.96
537,August,3828.33
640,August,3825.15
804,June,3806.18
586,August,3804.22
571,June,3794.92
529,May,3812.85
541,June,3806.15
590,June,3847.07
644,June,3818.88
557,June,3808.86
668,May,3827.14
859,August,3823.29
500,May,3860.81
551,July,3794.54
631,August,3804.92
471,June,3809.12
662,June,3814.24
570,June,3847.80
520,July,3849.95
516,June,3833.09
618,July,3819.02
785,May,3850.49
591,June,3818.20
623,June,3822.23
