Ordinate,Date,Time,Flow
175,6/19/1965,2:30,146948
176,6/19/1965,2:45,133168
177,6/19/1965,3:00,119492
178,6/19/1965,3:15,100870
179,6/19/1965,3:30,92359
180,6/19/1965,3:45,116384
181,6/19/1965,4:00,147350
182,6/19/1965,4:15,161621
183,6/19/1965,4:30,144387
184,6/19/1965,4:45,126715
185,6/19/1965,5:00,105015
186,6/19/1965,5:15,78772
187,6/19/1965,5:30,63363
188,6/19/1965,5:45,55637
189,6/19/1965,6:00,51289
190,6/19/1965,6:15,43266
191,6/19/1965,6:30,38479
192,6/19/1965,6:45,39813
193,6/19/1965,7:00,52915
194,6/19/1965,7:15,62874
195,6/19/1965,7:30,66471
196,6/19/1965,7:45,61061
197,6/19/1965,8:00,56889
198,6/19/1965,8:15,51495
199,6/19/1965,8:30,46967
200,6/19/1965,8:45,42681
201,6/19/1965,9:00,37529
202,6/19/1965,9:15,32358
203,6/19/1965,9:30,27640
204,6/19/1965,9:45,25249
205,6/19/1965,10:00,24160
206,6/19/1965,10:15,23671
207,6/19/1965,10:30,23111
208,6/19/1965,10:45,21268
209,6/19/1965,11:00,17694
210,6/19/1965,11:15,13841
211,6/19/1965,11:30,10751
212,6/19/1965,11:45,14120
213,6/19/1965,12:00,17981
214,6/19/1965,12:15,27352
215,6/19/1965,12:30,28204
216,6/19/1965,12:45,26668
217,6/19/1965,13:00,24141
218,6/19/1965,13:15,20653
219,6/19/1965,13:30,19002
220,6/19/1965,13:45,18781
221,6/19/1965,14:00,18561
222,6/19/1965,14:15,18347
223,6/19/1965,14:30,18235
224,6/19/1965,14:45,18123
225,6/19/1965,15:00,18006
226,6/19/1965,15:15,17883
227,6/19/1965,15:30,17760
228,6/19/1965,15:45,17580
229,6/19/1965,16:00,17284
230,6/19/1965,16:15,16988
231,6/19/1965,16:30,16651
232,6/19/1965,16:45,16211
233,6/19/1965,17:00,15771
234,6/19/1965,17:15,15331
235,6/19/1965,17:30,14873
236,6/19/1965,17:45,14446
237,6/19/1965,18:00,14446
238,6/19/1965,18:15,14446
239,6/19/1965,18:30,14445
240,6/19/1965,18:45,14445
241,6/19/1965,19:00,14427
242,6/19/1965,19:15,14397
243,6/19/1965,19:30,14454
244,6/19/1965,19:45,15334
245,6/19/1965,20:00,16533
246,6/19/1965,20:15,18143
247,6/19/1965,20:30,19296
248,6/19/1965,20:45,18890
249,6/19/1965,21:00,16519
250,6/19/1965,21:15,14319
251,6/19/1965,21:30,12773
252,6/19/1965,21:45,11295
253,6/19/1965,22:00,12432
254,6/19/1965,22:15,13970
255,6/19/1965,22:30,15673
256,6/19/1965,22:45,15914
257,6/19/1965,23:00,15588
258,6/19/1965,23:15,14649
259,6/19/1965,23:30,14285
260,6/19/1965,23:45,14016
261,6/20/1965,0:00,13748
262,6/20/1965,0:15,13479
263,6/20/1965,0:30,13365
264,6/20/1965,0:45,13496
265,6/20/1965,1:00,13626
266,6/20/1965,1:15,13808
267,6/20/1965,1:30,14036
268,6/20/1965,1:45,15248
269,6/20/1965,2:00,17372
270,6/20/1965,2:15,19524
271,6/20/1965,2:30,21841
272,6/20/1965,2:45,22886
273,6/20/1965,3:00,22700
274,6/20/1965,3:15,22513
275,6/20/1965,3:30,22143
276,6/20/1965,3:45,21472
277,6/20/1965,4:00,21027
278,6/20/1965,4:15,20738
279,6/20/1965,4:30,20450
280,6/20/1965,4:45,20772
281,6/20/1965,5:00,21312
282,6/20/1965,5:15,21692
283,6/20/1965,5:30,22185
284,6/20/1965,5:45,23382
285,6/20/1965,6:00,24694
286,6/20/1965,6:15,26077
287,6/20/1965,6:30,25973
288,6/20/1965,6:45,25173
289,6/20/1965,7:00,22234
290,6/20/1965,7:15,21295
291,6/20/1965,7:30,20425
292,6/20/1965,7:45,21089
293,6/20/1965,8:00,22090
294,6/20/1965,8:15,23221
295,6/20/1965,8:30,24284
296,6/20/1965,8:45,25312
297,6/20/1965,9:00,26441
298,6/20/1965,9:15,27394
299,6/20/1965,9:30,27417
300,6/20/1965,9:45,26718
301,6/20/1965,10:00,25945
302,6/20/1965,10:15,25281
303,6/20/1965,10:30,24672
304,6/20/1965,10:45,25446
305,6/20/1965,11:00,26480
306,6/20/1965,11:15,27476
307,6/20/1965,11:30,29721
308,6/20/1965,11:45,30685
309,6/20/1965,12:00,31840
310,6/20/1965,12:15,33376
311,6/20/1965,12:30,34913
312,6/20/1965,12:45,35615
313,6/20/1965,13:00,35862
314,6/20/1965,13:15,36108
315,6/20/1965,13:30,35955
316,6/20/1965,13:45,35536
317,6/20/1965,14:00,35122
318,6/20/1965,14:15,34767
319,6/20/1965,14:30,34413
